"id","participant_id","question_id","response_value","questionnaire_type","timestamp"
"259","d889c1e9-cb46-48fd-b45a-cc39d253530a","post_effort","6","post","2025-04-24 10:58:49.219586+00"
"260","d889c1e9-cb46-48fd-b45a-cc39d253530a","post_engagement","7","post","2025-04-24 10:58:49.219586+00"
"261","90273864-46fc-4064-a437-c2d25d9f6fbb","pre_content_familiarity","7","pre","2025-04-24 11:19:02.571518+00"
"262","90273864-46fc-4064-a437-c2d25d9f6fbb","pre_decision_experience","7","pre","2025-04-24 11:19:02.571518+00"
"263","90273864-46fc-4064-a437-c2d25d9f6fbb","pre_ai_familiarity","7","pre","2025-04-24 11:19:02.571518+00"
"264","90273864-46fc-4064-a437-c2d25d9f6fbb","pre_ai_usage","7","pre","2025-04-24 11:19:02.571518+00"
"265","90273864-46fc-4064-a437-c2d25d9f6fbb","pre_tech_comfort","7","pre","2025-04-24 11:19:02.571518+00"
"266","605ce5cd-181d-4dcb-8ebc-99eef38c81bb","pre_content_familiarity","7","pre","2025-04-25 09:46:50.494613+00"
"267","605ce5cd-181d-4dcb-8ebc-99eef38c81bb","pre_decision_experience","7","pre","2025-04-25 09:46:50.494613+00"
"268","605ce5cd-181d-4dcb-8ebc-99eef38c81bb","pre_ai_familiarity","7","pre","2025-04-25 09:46:50.494613+00"
"269","605ce5cd-181d-4dcb-8ebc-99eef38c81bb","pre_ai_usage","7","pre","2025-04-25 09:46:50.494613+00"
"270","605ce5cd-181d-4dcb-8ebc-99eef38c81bb","pre_tech_comfort","7","pre","2025-04-25 09:46:50.494613+00"
"271","6d15731c-fa63-4bb5-8aba-bdac175177b7","pre_content_familiarity","7","pre","2025-04-25 10:02:55.851469+00"
"272","6d15731c-fa63-4bb5-8aba-bdac175177b7","pre_decision_experience","7","pre","2025-04-25 10:02:55.851469+00"
"273","6d15731c-fa63-4bb5-8aba-bdac175177b7","pre_ai_familiarity","7","pre","2025-04-25 10:02:55.851469+00"
"274","6d15731c-fa63-4bb5-8aba-bdac175177b7","pre_ai_usage","7","pre","2025-04-25 10:02:55.851469+00"
"275","6d15731c-fa63-4bb5-8aba-bdac175177b7","pre_tech_comfort","7","pre","2025-04-25 10:02:55.851469+00"
"276","6d15731c-fa63-4bb5-8aba-bdac175177b7","post_overall_difficulty","1","post","2025-04-25 10:04:18.04662+00"
"277","6d15731c-fa63-4bb5-8aba-bdac175177b7","post_confidence","1","post","2025-04-25 10:04:18.04662+00"
"278","6d15731c-fa63-4bb5-8aba-bdac175177b7","post_effort","1","post","2025-04-25 10:04:18.04662+00"
"279","6d15731c-fa63-4bb5-8aba-bdac175177b7","post_engagement","1","post","2025-04-25 10:04:18.04662+00"
"280","19f22b0e-6abb-45e9-b474-6053250170aa","pre_content_familiarity","7","pre","2025-04-25 10:05:39.997122+00"
"281","19f22b0e-6abb-45e9-b474-6053250170aa","pre_decision_experience","4","pre","2025-04-25 10:05:39.997122+00"
"282","19f22b0e-6abb-45e9-b474-6053250170aa","pre_ai_familiarity","1","pre","2025-04-25 10:05:39.997122+00"
"283","19f22b0e-6abb-45e9-b474-6053250170aa","pre_ai_usage","4","pre","2025-04-25 10:05:39.997122+00"
"284","19f22b0e-6abb-45e9-b474-6053250170aa","pre_tech_comfort","7","pre","2025-04-25 10:05:39.997122+00"
"285","13c65984-1da1-4a40-97e9-38d2585afa1b","pre_content_familiarity","1","pre","2025-04-25 10:06:59.227993+00"
"286","13c65984-1da1-4a40-97e9-38d2585afa1b","pre_decision_experience","1","pre","2025-04-25 10:06:59.227993+00"
"287","13c65984-1da1-4a40-97e9-38d2585afa1b","pre_ai_familiarity","1","pre","2025-04-25 10:06:59.227993+00"
"288","13c65984-1da1-4a40-97e9-38d2585afa1b","pre_ai_usage","1","pre","2025-04-25 10:06:59.227993+00"
"289","13c65984-1da1-4a40-97e9-38d2585afa1b","pre_tech_comfort","1","pre","2025-04-25 10:06:59.227993+00"
"290","d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0","pre_content_familiarity","7","pre","2025-04-25 10:11:09.790552+00"
"291","d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0","pre_decision_experience","7","pre","2025-04-25 10:11:09.790552+00"
"292","d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0","pre_ai_familiarity","7","pre","2025-04-25 10:11:09.790552+00"
"293","d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0","pre_ai_usage","7","pre","2025-04-25 10:11:09.790552+00"
"294","d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0","pre_tech_comfort","7","pre","2025-04-25 10:11:09.790552+00"
"295","2a6ffef2-45ce-453a-abaa-4929474caf5b","pre_content_familiarity","7","pre","2025-04-25 10:11:10.804649+00"
"296","2a6ffef2-45ce-453a-abaa-4929474caf5b","pre_decision_experience","5","pre","2025-04-25 10:11:10.804649+00"
"297","2a6ffef2-45ce-453a-abaa-4929474caf5b","pre_ai_familiarity","7","pre","2025-04-25 10:11:10.804649+00"
"298","2a6ffef2-45ce-453a-abaa-4929474caf5b","pre_ai_usage","2","pre","2025-04-25 10:11:10.804649+00"
"299","2a6ffef2-45ce-453a-abaa-4929474caf5b","pre_tech_comfort","7","pre","2025-04-25 10:11:10.804649+00"
"300","f9e8e30e-6178-4de7-ba7d-cca822f9f989","pre_content_familiarity","7","pre","2025-04-25 10:11:56.393604+00"
"301","f9e8e30e-6178-4de7-ba7d-cca822f9f989","pre_decision_experience","6","pre","2025-04-25 10:11:56.393604+00"
"302","f9e8e30e-6178-4de7-ba7d-cca822f9f989","pre_ai_familiarity","7","pre","2025-04-25 10:11:56.393604+00"
"303","f9e8e30e-6178-4de7-ba7d-cca822f9f989","pre_ai_usage","6","pre","2025-04-25 10:11:56.393604+00"
"304","f9e8e30e-6178-4de7-ba7d-cca822f9f989","pre_tech_comfort","7","pre","2025-04-25 10:11:56.393604+00"
"305","9b158d49-b4c2-447d-8a3d-d5df47ce29d1","pre_content_familiarity","7","pre","2025-04-25 10:12:09.682447+00"
"306","9b158d49-b4c2-447d-8a3d-d5df47ce29d1","pre_decision_experience","7","pre","2025-04-25 10:12:09.682447+00"
"307","9b158d49-b4c2-447d-8a3d-d5df47ce29d1","pre_ai_familiarity","6","pre","2025-04-25 10:12:09.682447+00"
"308","9b158d49-b4c2-447d-8a3d-d5df47ce29d1","pre_ai_usage","7","pre","2025-04-25 10:12:09.682447+00"
"309","9b158d49-b4c2-447d-8a3d-d5df47ce29d1","pre_tech_comfort","7","pre","2025-04-25 10:12:09.682447+00"
"310","d35fbd2f-a8ee-4857-ab65-879838215e77","pre_content_familiarity","7","pre","2025-04-25 10:12:28.747053+00"
"311","d35fbd2f-a8ee-4857-ab65-879838215e77","pre_decision_experience","6","pre","2025-04-25 10:12:28.747053+00"
"312","d35fbd2f-a8ee-4857-ab65-879838215e77","pre_ai_familiarity","7","pre","2025-04-25 10:12:28.747053+00"
"313","d35fbd2f-a8ee-4857-ab65-879838215e77","pre_ai_usage","7","pre","2025-04-25 10:12:28.747053+00"
"314","d35fbd2f-a8ee-4857-ab65-879838215e77","pre_tech_comfort","7","pre","2025-04-25 10:12:28.747053+00"
"315","bee80cba-c6ac-41f1-869c-dd4eaaf2c919","pre_content_familiarity","7","pre","2025-04-25 10:12:37.777047+00"
"316","bee80cba-c6ac-41f1-869c-dd4eaaf2c919","pre_decision_experience","4","pre","2025-04-25 10:12:37.777047+00"
